0-02-L08-Q09-I01	一	ㄧˋ	ㄧ
0-02-L09-Q06-I01	個	ㄍㄜˋ	ㄍㄜ˙
0-02-L09-Q06-I04	一	ㄧˊ	ㄧ
0-02-L09-Q07-I01	個	ㄍㄜˋ	ㄍㄜ˙
0-02-L12-Q08-I05	調	ㄉㄧㄠˋ	ㄊㄧㄠˊ
0-05-L02-Q04-I03	驟	ㄓㄡˋ	ㄗㄡˋ
0-05-L02-Q05-I02	一	ㄧˋ	ㄧ
0-05-L03-Q03-I06	似	ㄕˋ	ㄙˋ
0-05-L03-Q07-I00	不	ㄅㄨˊ	ㄅㄨˋ
0-05-L03-Q08-I06	惜	ㄒㄧ	ㄒㄧˊ
0-05-L05-Q02-I04	崖	ㄧㄚˊ	ㄧㄞˊ
0-05-L05-Q03-I03	崖	ㄧㄚˊ	ㄧㄞˊ
0-05-L06-Q07-I07	一	ㄧˊ	ㄧ
0-05-L07-Q01-I01	築	ㄓㄨˋ	ㄓㄨˊ
0-05-L08-Q05-I01	樂	ㄌㄜˋ	ㄩㄝˋ
0-05-L09-Q01-I04	藉	ㄐㄧˊ	ㄐㄧㄝˋ
0-05-L10-Q02-I06	個	ㄍㄜˋ	ㄍㄜ˙
0-05-L10-Q04-I06	不	ㄅㄨˊ	ㄅㄨˋ
0-05-L11-Q02-I00	不	ㄅㄨˊ	ㄅㄨˋ
0-05-L12-Q09-I05	似	ㄕˋ	ㄙˋ
0-06-L01-Q10-I06	暈	ㄩㄣ	ㄩㄣˋ
0-06-L02-Q01-I05	種	ㄓㄨㄥˇ	ㄓㄨㄥˋ
0-06-L02-Q02-I01	蔓	ㄨㄢˋ	ㄇㄢˋ
0-06-L02-Q04-I06	乾	ㄑㄧㄢˊ	ㄍㄢ
0-06-L02-Q10-I06	樂	ㄌㄜˋ	ㄩㄝˋ
0-06-L03-Q09-I01	寂	ㄐㄧˋ	ㄐㄧˊ
0-06-L04-Q08-I04	個	ㄍㄜˋ	ㄍㄜ˙
0-06-L05-Q10-I05	相	ㄒㄧㄤ	ㄒㄧㄤˋ
0-06-L06-Q01-I02	劃	ㄏㄨㄚˋ	ㄏㄨㄚˊ
0-06-L07-Q10-I03	息	ㄒㄧ	ㄒㄧˊ
0-06-L08-Q01-I00	不	ㄅㄨˊ	ㄅㄨˋ
0-06-L08-Q02-I06	息	ㄒㄧ	ㄒㄧˊ
0-06-L08-Q04-I02	熄	ㄒㄧ	ㄒㄧˊ
0-06-L08-Q05-I01	跌	ㄉㄧㄝ	ㄉㄧㄝˊ
0-06-L08-Q08-I04	不	ㄅㄨˊ	ㄅㄨˋ
0-06-L09-Q03-I08	晃	ㄏㄨㄤˇ	ㄏㄨㄤ˙
0-06-L11-Q05-I00	不	ㄅㄨˊ	ㄅㄨˋ
0-06-L12-Q05-I00	長	ㄓㄤˇ	ㄔㄤˊ
0-04-L02-Q06-I00	肚	ㄉㄨˇ	ㄉㄨˋ
0-04-L02-Q07-I02	彷	ㄆㄤˊ	ㄈㄤˇ
0-04-L03-Q02-I05	一	ㄧˋ	ㄧ
0-04-L03-Q07-I04	一	ㄧˋ	ㄧ
0-04-L04-Q01-I07	頭	ㄊㄡˊ	ㄊㄡ˙
0-04-L04-Q06-I06	樂	ㄌㄜˋ	ㄩㄝˋ
0-04-L04-Q08-I06	樂	ㄌㄜˋ	ㄩㄝˋ
0-04-L04-Q08-I07	曲	ㄑㄩ	ㄑㄩˇ
0-04-L05-Q01-I06	挑	ㄊㄧㄠ	ㄊㄧㄠˇ
0-04-L05-Q06-I02	盡	ㄐㄧㄣˇ	ㄐㄧㄣˋ
0-04-L05-Q07-I06	挑	ㄊㄧㄠ	ㄊㄧㄠˇ
0-04-L08-Q02-I00	突	ㄊㄨ	ㄊㄨˊ
